Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),19992001,1999-2001,%,41.7,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20002002,2000-2002,%,41.7,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20012003,2001-2003,%,41.6,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20022004,2002-2004,%,41.4,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20032005,2003-2005,%,41.1,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20042006,2004-2006,%,41.1,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20052007,2005-2007,%,41.1,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20062008,2006-2008,%,41.2,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20072009,2007-2009,%,41.2,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20082010,2008-2010,%,41.2,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20092011,2009-2011,%,41.2,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20102012,2010-2012,%,41.2,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20112013,2011-2013,%,41.2,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20122014,2012-2014,%,41.2,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20132015,2013-2015,%,,NA,Not applicable
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20142016,2014-2016,%,,NA,Not applicable
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21034,Percentage of arable land equipped for irrigation (%) (3-year average),20152017,2015-2017,%,,NA,Not applicable
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),19992001,1999-2001,%,65,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20002002,2000-2002,%,121,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20012003,2001-2003,%,187,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20022004,2002-2004,%,225,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20032005,2003-2005,%,164,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20042006,2004-2006,%,164,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20052007,2005-2007,%,161,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20062008,2006-2008,%,164,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20072009,2007-2009,%,186,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20082010,2008-2010,%,207,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20092011,2009-2011,%,250,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20102012,2010-2012,%,295,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20112013,2011-2013,%,303,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20122014,2012-2014,%,,NA,Not applicable
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20132015,2013-2015,%,,NA,Not applicable
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20142016,2014-2016,%,,NA,Not applicable
FS,Suite of Food Security Indicators,2,Afghanistan,6121,Value,21033,Value of food imports over total merchandise exports (%) (3-year average),20152017,2015-2017,%,,NA,Not applicable
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2000,2000,index,-2.56,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2001,2001,index,,NA,Not applicable
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2002,2002,index,-2.21,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2003,2003,index,-2.26,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2004,2004,index,-2.3,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2005,2005,index,-2.08,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2006,2006,index,-2.23,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2007,2007,index,-2.39,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2008,2008,index,-2.68,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2009,2009,index,-2.7,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2010,2010,index,-2.54,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2011,2011,index,-2.48,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2012,2012,index,-2.39,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2013,2013,index,-2.5,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2014,2014,index,-2.42,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2015,2015,index,-2.5,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)"
FS,Suite of Food Security Indicators,2,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2016,2016,index,,NA,Not applicable
FS,Suite of Food Security Indicators,2,Afghanistan,6128,Value,21031,Per capita food supply variability (kcal/capita/day),2000,2000,kcal/capita/day,45,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6128,Value,21031,Per capita food supply variability (kcal/capita/day),2001,2001,kcal/capita/day,43,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6128,Value,21031,Per capita food supply variability (kcal/capita/day),2002,2002,kcal/capita/day,65,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6128,Value,21031,Per capita food supply variability (kcal/capita/day),2003,2003,kcal/capita/day,63,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6128,Value,21031,Per capita food supply variability (kcal/capita/day),2004,2004,kcal/capita/day,52,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6128,Value,21031,Per capita food supply variability (kcal/capita/day),2005,2005,kcal/capita/day,70,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6128,Value,21031,Per capita food supply variability (kcal/capita/day),2006,2006,kcal/capita/day,71,F,FAO estimate
FS,Suite of Food Security Indicators,2,Afghanistan,6128,Value,21031,Per capita food supply variability (kcal/capita/day),2007,2007,kcal/capita/day,38,F,FAO estimate
